año,area_total_km2,sensor,año_base,area_ref_km2,area_ref_fin_km2,delta_largo_plazo_km2,pct_largo_plazo,media_movil_km2,delta_anomalia_km2,pct_anomalia,tasa_lineal_km2_año,area_tendencia_inicio_km2,area_tendencia_fin_km2,cambio_tendencia_pct,decada
2016,33.489949,sentinel2,2016,33.48995,20.58054,0.0,0.0,26.5131,6.97685,26.31,-1.6588765666666685,27.4012707111101,14.130258177776795,-48.43210620868196,2015-2025
2017,23.477959000000002,sentinel2,2016,33.48995,20.58054,-10.01199,-29.9,25.46926,-1.99131,-7.82,-1.6588765666666685,27.4012707111101,14.130258177776795,-48.43210620868196,2015-2025
2018,22.571392,sentinel2,2016,33.48995,20.58054,-10.91856,-32.6,23.54111,-0.96972,-4.12,-1.6588765666666685,27.4012707111101,14.130258177776795,-48.43210620868196,2015-2025
2019,22.337756,sentinel2,2016,33.48995,20.58054,-11.15219,-33.3,21.14812,1.18964,5.63,-1.6588765666666685,27.4012707111101,14.130258177776795,-48.43210620868196,2015-2025
2020,15.828482000000001,sentinel2,2016,33.48995,20.58054,-17.66147,-52.74,19.00211,-3.17363,-16.7,-1.6588765666666685,27.4012707111101,14.130258177776795,-48.43210620868196,2015-2025
2021,21.525002,sentinel2,2016,33.48995,20.58054,-11.96495,-35.73,17.35441,4.17059,24.03,-1.6588765666666685,27.4012707111101,14.130258177776795,-48.43210620868196,2015-2025
2022,12.74794,sentinel2,2016,33.48995,20.58054,-20.74201,-61.94,17.00296,-4.25502,-25.03,-1.6588765666666685,27.4012707111101,14.130258177776795,-48.43210620868196,2015-2025
2023,14.332863000000001,sentinel2,2016,33.48995,20.58054,-19.15709,-57.2,17.29659,-2.96372,-17.13,-1.6588765666666685,27.4012707111101,14.130258177776795,-48.43210620868196,2015-2025
2024,20.580537,sentinel2,2016,33.48995,20.58054,-12.90941,-38.55,15.88711,4.69342,29.54,-1.6588765666666685,27.4012707111101,14.130258177776795,-48.43210620868196,2015-2025
