año,sensor,area_pipeline_km2,area_dga_km2,diff_km2,abs_diff_km2,diff_pct
1985,landsat,15.230415,8.035180951814386,7.195234048185615,7.195234048185615,89.55
1986,landsat,17.042658,8.035180951814386,9.007477048185613,9.007477048185613,112.1
1987,landsat,23.726934,8.035180951814386,15.691753048185614,15.691753048185614,195.29
1988,landsat,26.401554,8.035180951814386,18.366373048185615,18.366373048185615,228.57
1989,landsat,16.095493,8.035180951814386,8.060312048185615,8.060312048185615,100.31
1990,landsat,15.403609,8.035180951814386,7.3684280481856135,7.3684280481856135,91.7
1991,landsat,15.757218,8.035180951814386,7.722037048185614,7.722037048185614,96.1
1992,landsat,5.119201,8.035180951814386,-2.9159799518143856,2.9159799518143856,-36.29
1993,landsat,19.837239,8.035180951814386,11.802058048185614,11.802058048185614,146.88
1994,landsat,16.258765,8.035180951814386,8.223584048185614,8.223584048185614,102.34
1995,landsat,18.948713,8.035180951814386,10.913532048185616,10.913532048185616,135.82
1996,landsat,0.1704899999999999,8.035180951814386,-7.864690951814386,7.864690951814386,-97.88
1997,landsat,15.15735,8.035180951814386,7.122169048185613,7.122169048185613,88.64
1998,landsat,24.351159,8.035180951814386,16.315978048185613,16.315978048185613,203.06
1999,landsat,19.417783,8.035180951814386,11.382602048185614,11.382602048185614,141.66
2000,landsat,15.738271,8.035180951814386,7.703090048185613,7.703090048185613,95.87
2001,landsat,19.975258,8.035180951814386,11.940077048185614,11.940077048185614,148.6
2002,landsat,19.975262,8.035180951814386,11.940081048185615,11.940081048185615,148.6
2003,landsat,29.735568,8.035180951814386,21.700387048185615,21.700387048185615,270.07
2004,landsat,19.562113,8.035180951814386,11.526932048185614,11.526932048185614,143.46
2005,landsat,17.46482,8.035180951814386,9.429639048185614,9.429639048185614,117.35
2006,landsat,23.827967,8.035180951814386,15.792786048185615,15.792786048185615,196.55
2007,landsat,18.893687,8.035180951814386,10.858506048185614,10.858506048185614,135.14
2008,landsat,7.120877,8.035180951814386,-0.9143039518143858,0.9143039518143858,-11.38
2009,landsat,8.236725,8.035180951814386,0.2015440481856139,0.2015440481856139,2.51
2010,landsat,0.912885,8.035180951814386,-7.122295951814386,7.122295951814386,-88.64
2011,landsat,14.837116,8.035180951814386,6.801935048185614,6.801935048185614,84.65
2014,landsat,14.475385,8.035180951814386,6.440204048185613,6.440204048185613,80.15
2015,landsat,13.325262,8.035180951814386,5.290081048185614,5.290081048185614,65.84
2016,landsat,26.164305,8.035180951814386,18.129124048185613,18.129124048185613,225.62
2017,landsat,16.880285,8.035180951814386,8.845104048185615,8.845104048185615,110.08
2018,landsat,12.278868,8.035180951814386,4.243687048185613,4.243687048185613,52.81
2019,landsat,16.691752,8.035180951814386,8.656571048185615,8.656571048185615,107.73
2020,landsat,9.805415,8.035180951814386,1.770234048185614,1.770234048185614,22.03
2021,landsat,13.711338,8.035180951814386,5.676157048185614,5.676157048185614,70.64
2022,landsat,9.024227,8.035180951814386,0.9890460481856138,0.9890460481856138,12.31
2023,landsat,13.409150999999998,8.035180951814386,5.373970048185612,5.373970048185612,66.88
2024,landsat,15.134794,8.035180951814386,7.0996130481856135,7.0996130481856135,88.36
2025,landsat,13.860182,8.035180951814386,5.825001048185614,5.825001048185614,72.49
2026,landsat,17.625384,8.035180951814386,9.590203048185614,9.590203048185614,119.35
2016,sentinel2,33.489949,8.035180951814386,25.454768048185617,25.454768048185617,316.79
2017,sentinel2,23.477959,8.035180951814386,15.442778048185613,15.442778048185613,192.19
2018,sentinel2,22.571392,8.035180951814386,14.536211048185613,14.536211048185613,180.91
2019,sentinel2,22.337756,8.035180951814386,14.302575048185613,14.302575048185613,178.0
2020,sentinel2,15.828482,8.035180951814386,7.793301048185613,7.793301048185613,96.99
2021,sentinel2,21.525002,8.035180951814386,13.489821048185615,13.489821048185615,167.88
2022,sentinel2,12.74794,8.035180951814386,4.712759048185614,4.712759048185614,58.65
2023,sentinel2,14.332863,8.035180951814386,6.297682048185614,6.297682048185614,78.38
2024,sentinel2,20.580537,8.035180951814386,12.545356048185614,12.545356048185614,156.13
