sensor,decada,n_años,mediana_km2,tasa_km2_año,r2,p_valor,se_pendiente,ic95_inf,ic95_sup
landsat,1985-1994,10,1.1294,-0.17647,0.0935,0.3903,0.194286,-0.55727,0.20433
landsat,1995-2004,8,2.2242,0.02568,0.0018,0.9203,0.246046,-0.45657,0.50793
landsat,2005-2014,5,0.7651,-0.2522,0.3249,0.3158,0.2099,-0.6636,0.1592
landsat,2015-2025,9,0.2417,-0.02058,0.0049,0.8581,0.110906,-0.23795,0.1968
sentinel2,2015-2025,9,0.3885,-0.08625,0.0282,0.6659,0.191386,-0.46137,0.28886
