sensor,n_años,mae_km2,sesgo_medio_km2,rmse_km2,año_dga_referencia,area_dga_referencia_km2,año_mas_cercano,diff_año_mas_cercano_km2
landsat,33,3.0006,2.98488,4.44079,2022,0.196585,2021,-0.1437
sentinel2,9,0.99878,0.94858,1.68033,2022,0.196585,2022,-0.09901
