sensor,decada,n_años,mediana_km2,tasa_km2_año,r2,p_valor,se_pendiente,ic95_inf,ic95_sup
landsat,1985-1994,10,2.2734,-0.36585,0.0927,0.3923,0.40458,-1.15882,0.42713
landsat,1995-2004,8,4.5263,0.05936,0.0022,0.9121,0.515654,-0.95132,1.07004
landsat,2005-2014,5,1.5484,-0.51545,0.3233,0.3172,0.430545,-1.35932,0.32842
landsat,2015-2025,9,0.4833,-0.04159,0.0047,0.8602,0.227668,-0.48781,0.40464
