codigo_estacion,nombre_estacion,variable,n,año_inicio,año_fin,r,p_valor,r_detrended,p_detrended,subperiodo
05703006,Estero Glaciar Echaurren Norte,area_total_km2,16,1985,2004,0.1564,0.5629903948366868,0.1164,0.6676770078263283,completo
05703006,Estero Glaciar Echaurren Norte,delta_largo_plazo_km2,16,1985,2004,0.1564,0.562991210662035,0.1164,0.6676780066747445,completo
05703006,Estero Glaciar Echaurren Norte,media_movil_km2,16,1985,2004,-0.0006,0.9981891793639217,-0.0011,0.9967561434479246,completo
05704002,Río Maipo en San Alfonso,area_total_km2,25,1985,2016,0.8117,8.45459152884595e-07,0.809,9.832106144942068e-07,completo
05704002,Río Maipo en San Alfonso,delta_largo_plazo_km2,25,1985,2016,0.8117,8.454637353750267e-07,0.809,9.832160229139035e-07,completo
05704002,Río Maipo en San Alfonso,media_movil_km2,25,1985,2016,0.2041,0.3277735943355197,0.1706,0.4148413549929997,completo
05704002,Río Maipo en San Alfonso,area_total_km2,16,1985,2004,0.7803,0.0003626742907605502,0.7817,0.000348006563396071,solape_estero
05704002,Río Maipo en San Alfonso,delta_largo_plazo_km2,16,1985,2004,0.7803,0.00036267451961418464,0.7817,0.00034800666663816144,solape_estero
05704002,Río Maipo en San Alfonso,media_movil_km2,16,1985,2004,0.1644,0.5429119286711965,0.1649,0.5416881306908423,solape_estero
