año,sensor,area_pipeline_km2,area_dga_km2,diff_km2,abs_diff_km2,diff_pct
1985,landsat,1.389766,0.19658526246825098,1.1931807375317491,1.1931807375317491,606.95
1986,landsat,0.801577,0.19658526246825098,0.6049917375317491,0.6049917375317491,307.75
1987,landsat,4.534067,0.19658526246825098,4.337481737531749,4.337481737531749,2206.41
1988,landsat,5.456930999999999,0.19658526246825098,5.260345737531748,5.260345737531748,2675.86
1989,landsat,1.04506,0.19658526246825098,0.8484747375317492,0.8484747375317492,431.61
1990,landsat,0.983961,0.19658526246825098,0.7873757375317489,0.7873757375317489,400.53
1991,landsat,0.469639,0.19658526246825098,0.273053737531749,0.273053737531749,138.9
1992,landsat,0.355649,0.19658526246825098,0.15906373753174902,0.15906373753174902,80.91
1993,landsat,1.998926,0.19658526246825098,1.802340737531749,1.802340737531749,916.82
1994,landsat,1.213768,0.19658526246825098,1.017182737531749,1.017182737531749,517.43
1995,landsat,2.146658,0.19658526246825098,1.950072737531749,1.950072737531749,991.97
1998,landsat,4.732867,0.19658526246825098,4.536281737531748,4.536281737531748,2307.54
1999,landsat,0.418571,0.19658526246825098,0.22198573753174905,0.22198573753174905,112.92
2000,landsat,0.839877,0.19658526246825098,0.6432917375317491,0.6432917375317491,327.23
2001,landsat,2.473126,0.19658526246825098,2.2765407375317492,2.2765407375317492,1158.04
2002,landsat,2.3016870000000003,0.19658526246825098,2.1051017375317493,2.1051017375317493,1070.83
2003,landsat,5.219832,0.19658526246825098,5.023246737531749,5.023246737531749,2555.25
2004,landsat,1.051441,0.19658526246825098,0.8548557375317491,0.8548557375317491,434.85
2005,landsat,0.7651,0.19658526246825098,0.568514737531749,0.568514737531749,289.19
2006,landsat,3.837359,0.19658526246825098,3.6407737375317493,3.6407737375317493,1852.01
2007,landsat,2.145751,0.19658526246825098,1.9491657375317493,1.9491657375317493,991.51
2009,landsat,0.26172,0.19658526246825098,0.06513473753174903,0.06513473753174903,33.13
2014,landsat,0.0766,0.19658526246825098,-0.11998526246825097,0.11998526246825097,-61.03
2015,landsat,0.095752,0.19658526246825098,-0.10083326246825097,0.10083326246825097,-51.29
2016,landsat,2.915408,0.19658526246825098,2.7188227375317493,2.7188227375317493,1383.02
2017,landsat,0.522529,0.19658526246825098,0.32594373753174904,0.32594373753174904,165.8
2018,landsat,0.124934,0.19658526246825098,-0.07165126246825097,0.07165126246825097,-36.45
2019,landsat,0.241659,0.19658526246825098,0.045073737531749036,0.045073737531749036,22.93
2021,landsat,0.026445,0.19658526246825098,-0.17014026246825098,0.17014026246825098,-86.55
2023,landsat,0.064746,0.19658526246825098,-0.13183926246825098,0.13183926246825098,-67.06
2024,landsat,2.209582,0.19658526246825098,2.0129967375317492,2.0129967375317492,1023.98
2025,landsat,0.304582,0.19658526246825098,0.10799673753174904,0.10799673753174904,54.94
2026,landsat,0.176913,0.19658526246825098,-0.01967226246825099,0.01967226246825099,-10.01
2016,sentinel2,3.49721,0.19658526246825098,3.300624737531749,3.300624737531749,1678.98
2017,sentinel2,1.485517,0.19658526246825098,1.288931737531749,1.288931737531749,655.66
2018,sentinel2,0.388476,0.19658526246825098,0.191890737531749,0.191890737531749,97.61
2019,sentinel2,0.5125,0.19658526246825098,0.315914737531749,0.315914737531749,160.7
2020,sentinel2,0.149556,0.19658526246825098,-0.04702926246825098,0.04702926246825098,-23.92
2021,sentinel2,0.248043,0.19658526246825098,0.05145773753174904,0.05145773753174904,26.18
2022,sentinel2,0.097575,0.19658526246825098,-0.09901026246825098,0.09901026246825098,-50.37
2023,sentinel2,0.116726,0.19658526246825098,-0.07985926246825098,0.07985926246825098,-40.62
2024,sentinel2,3.441587,0.19658526246825098,3.2450017375317493,3.2450017375317493,1650.68
