codigo_estacion,nombre_estacion,variable,n,año_inicio,año_fin,r,p_valor,r_detrended,p_detrended,subperiodo
05703006,Estero Glaciar Echaurren Norte,area_total_km2,16,1985,2004,0.1511,0.5763649511545994,0.1114,0.6812647821777402,completo
05703006,Estero Glaciar Echaurren Norte,delta_largo_plazo_km2,16,1985,2004,0.1511,0.5763653826303249,0.1114,0.681265434183733,completo
05703006,Estero Glaciar Echaurren Norte,media_movil_km2,16,1985,2004,0.0045,0.9868686856222744,0.0038,0.9887626596620449,completo
05704002,Río Maipo en San Alfonso,area_total_km2,25,1985,2016,0.813,7.855221759421212e-07,0.8103,9.143267049240952e-07,completo
05704002,Río Maipo en San Alfonso,delta_largo_plazo_km2,25,1985,2016,0.813,7.855230757182722e-07,0.8103,9.14327302182436e-07,completo
05704002,Río Maipo en San Alfonso,media_movil_km2,25,1985,2016,0.2059,0.32354311628953136,0.1726,0.40935019135343065,completo
05704002,Río Maipo en San Alfonso,area_total_km2,16,1985,2004,0.7816,0.000348895222936079,0.7829,0.00033622030975665514,solape_estero
05704002,Río Maipo en San Alfonso,delta_largo_plazo_km2,16,1985,2004,0.7816,0.00034889808503441277,0.7829,0.0003362229273629288,solape_estero
05704002,Río Maipo en San Alfonso,media_movil_km2,16,1985,2004,0.1642,0.5435161299372245,0.1645,0.5425814945403067,solape_estero
