sensor,n_años,mae_km2,sesgo_medio_km2,rmse_km2,año_dga_referencia,area_dga_referencia_km2,año_mas_cercano,diff_año_mas_cercano_km2
landsat,33,1.39222,1.35501,2.08488,2022,0.196585,2021,-0.17014
sentinel2,9,0.95775,0.90755,1.60704,2022,0.196585,2022,-0.09901
