CODIGO ESTACION,NOMBRE ESTACION,COD_REGION,REGION,COMUNA,LAT,LONG,UTM_ESTE,UTM_NORTE,ALTITUD,Año,Mes,Caudal_Medio_mensual,Unidad
05703006,ESTERO GLACIAR ECHAURREN NORTE,13,METROPOLITANA,SAN JOSE DE MAIPO,333526,700702,396340,6282681,2985,1982,3,0.228,m3/s
05703006,ESTERO GLACIAR ECHAURREN NORTE,13,METROPOLITANA,SAN JOSE DE MAIPO,333526,700702,396340,6282681,2985,1982,4,0.146,m3/s
05703006,ESTERO GLACIAR ECHAURREN NORTE,13,METROPOLITANA,SAN JOSE DE MAIPO,333526,700702,396340,6282681,2985,1984,1,0.736,m3/s
05703006,ESTERO GLACIAR ECHAURREN NORTE,13,METROPOLITANA,SAN JOSE DE MAIPO,333526,700702,396340,6282681,2985,1984,2,0.629,m3/s
05703006,ESTERO GLACIAR ECHAURREN NORTE,13,METROPOLITANA,SAN JOSE DE MAIPO,333526,700702,396340,6282681,2985,1984,3,0.348,m3/s
05703006,ESTERO GLACIAR ECHAURREN NORTE,13,METROPOLITANA,SAN JOSE DE MAIPO,333526,700702,396340,6282681,2985,1984,4,0.126,m3/s
05703006,ESTERO GLACIAR ECHAURREN NORTE,13,METROPOLITANA,SAN JOSE DE MAIPO,333526,700702,396340,6282681,2985,1984,10,0.048,m3/s
05703006,ESTERO GLACIAR ECHAURREN NORTE,13,METROPOLITANA,SAN JOSE DE MAIPO,333526,700702,396340,6282681,2985,1984,11,0.14,m3/s
05703006,ESTERO GLACIAR ECHAURREN NORTE,13,METROPOLITANA,SAN JOSE DE MAIPO,333526,700702,396340,6282681,2985,1984,12,0.657,m3/s
05703006,ESTERO GLACIAR ECHAURREN NORTE,13,METROPOLITANA,SAN JOSE DE MAIPO,333526,700702,396340,6282681,2985,1985,1,0.798,m3/s
05703006,ESTERO GLACIAR ECHAURREN NORTE,13,METROPOLITANA,SAN JOSE DE MAIPO,333526,700702,396340,6282681,2985,1985,2,0.514,m3/s
05703006,ESTERO GLACIAR ECHAURREN NORTE,13,METROPOLITANA,SAN JOSE DE MAIPO,333526,700702,396340,6282681,2985,1985,3,0.27,m3/s
05703006,ESTERO GLACIAR ECHAURREN NORTE,13,METROPOLITANA,SAN JOSE DE MAIPO,333526,700702,396340,6282681,2985,1985,4,0.045,m3/s
05703006,ESTERO GLACIAR ECHAURREN NORTE,13,METROPOLITANA,SAN JOSE DE MAIPO,333526,700702,396340,6282681,2985,1985,9,0.0,m3/s
05703006,ESTERO GLACIAR ECHAURREN NORTE,13,METROPOLITANA,SAN JOSE DE MAIPO,333526,700702,396340,6282681,2985,1985,10,0.014,m3/s
05703006,ESTERO GLACIAR ECHAURREN NORTE,13,METROPOLITANA,SAN JOSE DE MAIPO,333526,700702,396340,6282681,2985,1985,11,0.455,m3/s
05703006,ESTERO GLACIAR ECHAURREN NORTE,13,METROPOLITANA,SAN JOSE DE MAIPO,333526,700702,396340,6282681,2985,1985,12,0.674,m3/s
05703006,ESTERO GLACIAR ECHAURREN NORTE,13,METROPOLITANA,SAN JOSE DE MAIPO,333526,700702,396340,6282681,2985,1986,1,0.511,m3/s
05703006,ESTERO GLACIAR ECHAURREN NORTE,13,METROPOLITANA,SAN JOSE DE MAIPO,333526,700702,396340,6282681,2985,1986,2,0.338,m3/s
05703006,ESTERO GLACIAR ECHAURREN NORTE,13,METROPOLITANA,SAN JOSE DE MAIPO,333526,700702,396340,6282681,2985,1986,3,0.168,m3/s
05703006,ESTERO GLACIAR ECHAURREN NORTE,13,METROPOLITANA,SAN JOSE DE MAIPO,333526,700702,396340,6282681,2985,1986,4,0.03,m3/s
05703006,ESTERO GLACIAR ECHAURREN NORTE,13,METROPOLITANA,SAN JOSE DE MAIPO,333526,700702,396340,6282681,2985,1986,11,0.105,m3/s
05703006,ESTERO GLACIAR ECHAURREN NORTE,13,METROPOLITANA,SAN JOSE DE MAIPO,333526,700702,396340,6282681,2985,1986,12,0.327,m3/s
05703006,ESTERO GLACIAR ECHAURREN NORTE,13,METROPOLITANA,SAN JOSE DE MAIPO,333526,700702,396340,6282681,2985,1987,1,0.304,m3/s
05703006,ESTERO GLACIAR ECHAURREN NORTE,13,METROPOLITANA,SAN JOSE DE MAIPO,333526,700702,396340,6282681,2985,1987,2,0.804,m3/s
05703006,ESTERO GLACIAR ECHAURREN NORTE,13,METROPOLITANA,SAN JOSE DE MAIPO,333526,700702,396340,6282681,2985,1987,3,0.907,m3/s
05703006,ESTERO GLACIAR ECHAURREN NORTE,13,METROPOLITANA,SAN JOSE DE MAIPO,333526,700702,396340,6282681,2985,1987,11,1.01,m3/s
05703006,ESTERO GLACIAR ECHAURREN NORTE,13,METROPOLITANA,SAN JOSE DE MAIPO,333526,700702,396340,6282681,2985,1987,12,0.74,m3/s
05703006,ESTERO GLACIAR ECHAURREN NORTE,13,METROPOLITANA,SAN JOSE DE MAIPO,333526,700702,396340,6282681,2985,1988,1,0.802,m3/s
05703006,ESTERO GLACIAR ECHAURREN NORTE,13,METROPOLITANA,SAN JOSE DE MAIPO,333526,700702,396340,6282681,2985,1988,2,0.651,m3/s
05703006,ESTERO GLACIAR ECHAURREN NORTE,13,METROPOLITANA,SAN JOSE DE MAIPO,333526,700702,396340,6282681,2985,1988,3,0.512,m3/s
05703006,ESTERO GLACIAR ECHAURREN NORTE,13,METROPOLITANA,SAN JOSE DE MAIPO,333526,700702,396340,6282681,2985,1988,4,0.053,m3/s
05703006,ESTERO GLACIAR ECHAURREN NORTE,13,METROPOLITANA,SAN JOSE DE MAIPO,333526,700702,396340,6282681,2985,1988,12,0.511,m3/s
05703006,ESTERO GLACIAR ECHAURREN NORTE,13,METROPOLITANA,SAN JOSE DE MAIPO,333526,700702,396340,6282681,2985,1989,1,0.412,m3/s
05703006,ESTERO GLACIAR ECHAURREN NORTE,13,METROPOLITANA,SAN JOSE DE MAIPO,333526,700702,396340,6282681,2985,1989,2,0.375,m3/s
05703006,ESTERO GLACIAR ECHAURREN NORTE,13,METROPOLITANA,SAN JOSE DE MAIPO,333526,700702,396340,6282681,2985,1989,3,0.113,m3/s
05703006,ESTERO GLACIAR ECHAURREN NORTE,13,METROPOLITANA,SAN JOSE DE MAIPO,333526,700702,396340,6282681,2985,1989,4,0.029,m3/s
05703006,ESTERO GLACIAR ECHAURREN NORTE,13,METROPOLITANA,SAN JOSE DE MAIPO,333526,700702,396340,6282681,2985,1990,1,0.281,m3/s
05703006,ESTERO GLACIAR ECHAURREN NORTE,13,METROPOLITANA,SAN JOSE DE MAIPO,333526,700702,396340,6282681,2985,1990,2,0.192,m3/s
05703006,ESTERO GLACIAR ECHAURREN NORTE,13,METROPOLITANA,SAN JOSE DE MAIPO,333526,700702,396340,6282681,2985,1990,3,0.08,m3/s
05703006,ESTERO GLACIAR ECHAURREN NORTE,13,METROPOLITANA,SAN JOSE DE MAIPO,333526,700702,396340,6282681,2985,1990,11,0.41,m3/s
05703006,ESTERO GLACIAR ECHAURREN NORTE,13,METROPOLITANA,SAN JOSE DE MAIPO,333526,700702,396340,6282681,2985,1990,12,0.534,m3/s
05703006,ESTERO GLACIAR ECHAURREN NORTE,13,METROPOLITANA,SAN JOSE DE MAIPO,333526,700702,396340,6282681,2985,1991,1,0.299,m3/s
05703006,ESTERO GLACIAR ECHAURREN NORTE,13,METROPOLITANA,SAN JOSE DE MAIPO,333526,700702,396340,6282681,2985,1991,2,0.176,m3/s
05703006,ESTERO GLACIAR ECHAURREN NORTE,13,METROPOLITANA,SAN JOSE DE MAIPO,333526,700702,396340,6282681,2985,1991,3,0.088,m3/s
05703006,ESTERO GLACIAR ECHAURREN NORTE,13,METROPOLITANA,SAN JOSE DE MAIPO,333526,700702,396340,6282681,2985,1991,4,0.043,m3/s
05703006,ESTERO GLACIAR ECHAURREN NORTE,13,METROPOLITANA,SAN JOSE DE MAIPO,333526,700702,396340,6282681,2985,1991,5,0.037,m3/s
05703006,ESTERO GLACIAR ECHAURREN NORTE,13,METROPOLITANA,SAN JOSE DE MAIPO,333526,700702,396340,6282681,2985,1992,1,0.869,m3/s
05703006,ESTERO GLACIAR ECHAURREN NORTE,13,METROPOLITANA,SAN JOSE DE MAIPO,333526,700702,396340,6282681,2985,1992,2,0.456,m3/s
05703006,ESTERO GLACIAR ECHAURREN NORTE,13,METROPOLITANA,SAN JOSE DE MAIPO,333526,700702,396340,6282681,2985,1992,9,0.112,m3/s
05703006,ESTERO GLACIAR ECHAURREN NORTE,13,METROPOLITANA,SAN JOSE DE MAIPO,333526,700702,396340,6282681,2985,1992,10,0.221,m3/s
05703006,ESTERO GLACIAR ECHAURREN NORTE,13,METROPOLITANA,SAN JOSE DE MAIPO,333526,700702,396340,6282681,2985,1992,11,0.259,m3/s
05703006,ESTERO GLACIAR ECHAURREN NORTE,13,METROPOLITANA,SAN JOSE DE MAIPO,333526,700702,396340,6282681,2985,1992,12,0.671,m3/s
05703006,ESTERO GLACIAR ECHAURREN NORTE,13,METROPOLITANA,SAN JOSE DE MAIPO,333526,700702,396340,6282681,2985,1993,1,0.692,m3/s
05703006,ESTERO GLACIAR ECHAURREN NORTE,13,METROPOLITANA,SAN JOSE DE MAIPO,333526,700702,396340,6282681,2985,1993,2,0.366,m3/s
05703006,ESTERO GLACIAR ECHAURREN NORTE,13,METROPOLITANA,SAN JOSE DE MAIPO,333526,700702,396340,6282681,2985,1993,3,0.198,m3/s
05703006,ESTERO GLACIAR ECHAURREN NORTE,13,METROPOLITANA,SAN JOSE DE MAIPO,333526,700702,396340,6282681,2985,1993,4,0.107,m3/s
05703006,ESTERO GLACIAR ECHAURREN NORTE,13,METROPOLITANA,SAN JOSE DE MAIPO,333526,700702,396340,6282681,2985,1993,12,0.852,m3/s
05703006,ESTERO GLACIAR ECHAURREN NORTE,13,METROPOLITANA,SAN JOSE DE MAIPO,333526,700702,396340,6282681,2985,1994,1,0.396,m3/s
05703006,ESTERO GLACIAR ECHAURREN NORTE,13,METROPOLITANA,SAN JOSE DE MAIPO,333526,700702,396340,6282681,2985,1994,2,0.17,m3/s
05703006,ESTERO GLACIAR ECHAURREN NORTE,13,METROPOLITANA,SAN JOSE DE MAIPO,333526,700702,396340,6282681,2985,1994,3,0.107,m3/s
05703006,ESTERO GLACIAR ECHAURREN NORTE,13,METROPOLITANA,SAN JOSE DE MAIPO,333526,700702,396340,6282681,2985,1994,4,0.037,m3/s
05703006,ESTERO GLACIAR ECHAURREN NORTE,13,METROPOLITANA,SAN JOSE DE MAIPO,333526,700702,396340,6282681,2985,1994,5,0.038,m3/s
05703006,ESTERO GLACIAR ECHAURREN NORTE,13,METROPOLITANA,SAN JOSE DE MAIPO,333526,700702,396340,6282681,2985,1994,6,0.037,m3/s
05703006,ESTERO GLACIAR ECHAURREN NORTE,13,METROPOLITANA,SAN JOSE DE MAIPO,333526,700702,396340,6282681,2985,1994,7,0.037,m3/s
05703006,ESTERO GLACIAR ECHAURREN NORTE,13,METROPOLITANA,SAN JOSE DE MAIPO,333526,700702,396340,6282681,2985,1994,8,0.037,m3/s
05703006,ESTERO GLACIAR ECHAURREN NORTE,13,METROPOLITANA,SAN JOSE DE MAIPO,333526,700702,396340,6282681,2985,1994,9,0.037,m3/s
05703006,ESTERO GLACIAR ECHAURREN NORTE,13,METROPOLITANA,SAN JOSE DE MAIPO,333526,700702,396340,6282681,2985,1994,10,0.037,m3/s
05703006,ESTERO GLACIAR ECHAURREN NORTE,13,METROPOLITANA,SAN JOSE DE MAIPO,333526,700702,396340,6282681,2985,1994,11,0.376,m3/s
